UMAP_1,UMAP_2,Record_ID,Population_Stratum,Week End,ZIP Code,Latitude,Longitude,Case Rate - Cumulative
14.136209,3.045524,264.0,Q4_Very_High,2022-09-24,60614,41.922605,-87.652064,24777.0
14.150493,3.0324764,265.0,Q4_Very_High,2022-10-01,60614,41.922605,-87.652064,24876.6
12.608384,4.3614044,266.0,Q4_Very_High,2022-01-29,60614,41.922605,-87.652064,18041.5
14.156339,3.0227742,267.0,Q4_Very_High,2022-10-08,60614,41.922605,-87.652064,24953.7
14.168768,3.0097628,268.0,Q4_Very_High,2022-10-15,60614,41.922605,-87.652064,25028.0
14.207471,2.9796114,269.0,Q4_Very_High,2022-10-29,60614,41.922605,-87.652064,25155.7
14.261191,2.935223,270.0,Q4_Very_High,2022-11-26,60614,41.922605,-87.652064,25426.3
14.275778,2.9222596,271.0,Q4_Very_High,2022-12-03,60614,41.922605,-87.652064,25511.9
14.329174,2.8721333,272.0,Q4_Very_High,2022-12-10,60614,41.922605,-87.652064,25619.8
8.724545,-11.085433,273.0,Q3_High,2024-01-20,60619,41.744737,-87.60569,26282.3
14.368567,2.842087,274.0,Q4_Very_High,2022-12-17,60614,41.922605,-87.652064,25740.4
14.377863,2.8331053,275.0,Q4_Very_High,2022-12-24,60614,41.922605,-87.652064,25868.1
14.375241,2.8362257,276.0,Q4_Very_High,2022-12-31,60614,41.922605,-87.652064,25945.2
